tag	xml	frequency
DOI	DC37878DC166FFA6FF53FD546F4FC2FA	184
P	3E46BF2FE8C98EE80F669F17C7AFFEC4	1
abbrev	FCA8BB91F8C1A2AB215256C7AC4ECCF5	743
abbreviatedEpithet	C3BDA694D8224E9046B9C788F0FC7B34	1740
abbreviation	5549C4279D1007EAD844CE6A921EC45E	34
abbreviationData	884C36210264FFF5FDAE5F8F2D76FD19	34
abbreviationRange	884C36210264FFF5FDAE5F8F2D76FD19	14
abbreviationReference	884C36210264FFF5FDAE5F8F2D76FD19	8
accessDate	AA3CDB3C7118A8151006FB4EB2A1FE3B	5
accessionNumber	FF7FE938FFBD3021FF6EE50A34380D18	32525
author	FF523C2AFFCC0012ABF95E918040BD51	4611
authorName	C3BDA694D8224E9046B9C788F0FC7B34	4571
authority	FFF3874DD8D2DFA5790B988757D1650E	3636
authorityCitation	3CF047840F7EEB123DCFC7DF92858370	1
backReference	D733C46270E0B942D87DAA35ED57CEC0	1
baseEpithet	C3BDA694D8224E9046B9C788F0FC7B34	2207
bedrock	B8113C23FFBEF6751417CF1B2E21A4AA	1
bibRef	FF71956CD0B8C7FE7BA344A740C5A26D	4807
bibRefCitation	FFFCD8F8F90261A1C90B566D1273EA22	1064566
bibRefPageCitation	F43887FFFF93DF52FCEEFB638261FAFD	17
block	0A78FC5B22615829C59D061CFB0BFAC8	3
bookContentInfo	F46687CDFFF8FFE1147EDBB87A853D92	220
botanicCollectionCode	E15C956252060B6E74EAF8A8FA8DFD83	191
botanicCollectionCodeGroup	E15C956252060B6877A7FC28FCF7F883	54
caption	FFF45F79E24611B57AE3854D84C32EC5	143088
captionCitation	03EDE31AFF873E6D3A34FC64B491F748	7
casentNumber	F18C47E04885618AFFEF218FE4F4F133	33
citation	EDF3B158FBBE9D1CBCBD28EC3B098472	49
citationReference	FE24DB175AFA4F5E493357E4AAE6C1A5	108
collectedFrom	FD7DB819767C7212FF2CFC2808E0C365	2199
collectingCountry	FFFDAD0AC036B0C2F858A5901DFB1E00	770142
collectingCounty	FF7FE938FFBD3021FF6EE50A34380D18	25898
collectingDate	FFFDAD0AC036B0C2F858A5901DFB1E00	152297
collectingEvent	7958DBC04167F6E3635BF77CCA25E390	27
collectingEventGroup	2570B7F62D11A855DBA11493BB6516D6	2
collectingLocation	71FBDC9F15387A2D2D3FF977EDD6864F	29
collectingMethod	FFFDAD0AC036B0C2F858A5901DFB1E00	24762
collectingMunicipality	FF7FE938FFBD3021FF6EE50A34380D18	54805
collectingRegion	FFF3874DD8D2DFA5790B988757D1650E	216185
collectingRegionExclude	9D6287DFFFC64F49FF41FA051E7DFC79	7
collectingRegionGroup	FEC49A916361EBB24FF6F85D62F71437	153
collectionCode	FFFDAD0AC036B0C2F858A5901DFB1E00	608482
collectionCode45	FB07504AFF87AC1AFDE616DAFBE12F4F	246
collectionCodeEnum	FC6D8796FFE05A34FF1F6398BB20DB2C	1945
collectionName	6075799ED513BE9EAC9BA672A65F0E58	1
collectorName	FFFDAD0AC036B0C2F858A5901DFB1E00	195459
colletingMethod	D9E3FFD76210329EC7CEDA7A46B90CDB	18
crop	999FC88E355461E6BDFEFD0029C68BC7	2
date	FFB4E3F8643C8877F4B8F463A4F0CF7E	605725
determinerName	FFE05DAE14048A5D53C8ABB220F4562A	14393
docAuthor	BE6787C3FFAB267FFF02FACE05938DCE	35
docID	E130879FFFEB4E42FC62BEA2FC6DFB21	8
docIdZenodo-Dep	03A0E827FF8AFFD3FC2FFA94F0F1FA49	1
docIssue	FD5387857342FF88FF38F905FBE0FE1C	218
docJournal	FA578799FFE9FFF835A53C4290FC30AA	19
docTitle	FE514B449E44C00BFEF3F9BC6F23EBAD	22
docVolume	261487BEFFF3FFBA939CFAA5459A976D	6
docYear	FF5387E657200D2E45DBF921FEE8FE00	85
editor	FD6E4758FFD6587B457A506FEE5BE1B3	346
elevation	FFE49FB46334832C4E9017D104EF394A	61904
emphasis	FF7FE938FFBD3021FF6EE50A34380D18	4053855
epithet	C3BDA694D8224E9046B9C788F0FC7B34	337
epithetLabel	9560D63896AC72C0259FB1562F6349D1	7
femaleSymbol	E15C956252000B637742FDA8FCF5FACE	18
figureCitation	FFA78BA2592DEC3A3B7E672D4D920013	711532
footnote	FFB7634A9AB08CD763FD4E6018881E6B	448
geoCoordinate	FFFDAD0AC036B0C2F858A5901DFB1E00	519399
geoCoordinateGone	7C5BBA0FA67B12EF258DD2BC9D4CFCDE	23
h2	9A749479CB910FDC4356D9E64E168BEF	1
heading	FF7FE938FFBD3021FF6EE50A34380D18	172020
httpUri	D35787D0FF8A1560EFD4FEFAFEE4FAE0	157
journal	2675D2F2C13BB7FBCC15A648FAC64C0E	1
journalOrPublisher	FF523C2AFFCC0012ABF95E918040BD51	3520
key	FF5687ECFF86FF99FF3908A46EA7FBC6	1705
keyLead	FF7CAB23FFE6FFE2FF2159C3FA3BC58A	98227
keyStep	FF7CAB23FFE6FFE2FF2159C3FA3BC58A	49972
location	FFFDAD0AC036B0C2F858A5901DFB1E00	178498
locationDeviation	FF9FF7B82BEF7E8C603AEFB1E98A2EBC	5072
maleSymbol	4440F01F8C2DFF58FDDBFB71D00AFEF7	9
materialCitation	BD624680733A1EA34833200CEB48130A	1
materialsCitation	FFFDAD0AC036B0C2F858A5901DFB1E00	227721
materialsCitationGroup	FEC49A916361EBB24FF6F85D62F71437	258
materialsCitationHidden	F90A8E23700B40B75E4F487F67EA54CF	25
mcCollectionCode	FF3087E77C418D2DFF1DB568FECC7250	6924
misspelling	FE0A009924D592880CE5574191C881CC	1338
mods:classification	FFFF4DB3F09263A12AADB00E0AE0FC20	289291
mods:date	FFFF4DB3F09263A12AADB00E0AE0FC20	284802
mods:dateIssued	FFF3874DD8D2DFA5790B988757D1650E	4489
mods:dateOther	03A77C55B22B2B01FF472A9DFF57FE42	2
mods:detail	FFFF4DB3F09263A12AADB00E0AE0FC20	440016
mods:end	FFFF4DB3F09263A12AADB00E0AE0FC20	284217
mods:extent	FFFF4DB3F09263A12AADB00E0AE0FC20	284217
mods:identifier	FFFF4DB3F09263A12AADB00E0AE0FC20	936310
mods:location	FFFF4DB3F09263A12AADB00E0AE0FC20	115435
mods:mods	FFFF4DB3F09263A12AADB00E0AE0FC20	289291
mods:name	FFFF4DB3F09263A12AADB00E0AE0FC20	1766922
mods:namePart	FFFF4DB3F09263A12AADB00E0AE0FC20	1766922
mods:number	FFFF4DB3F09263A12AADB00E0AE0FC20	439628
mods:originInfo	FFF3874DD8D2DFA5790B988757D1650E	4489
mods:part	FFFF4DB3F09263A12AADB00E0AE0FC20	287447
mods:place	FFF3874DD8D2DFA5790B988757D1650E	4134
mods:placeTerm	FFF3874DD8D2DFA5790B988757D1650E	4134
mods:publisher	FFF3874DD8D2DFA5790B988757D1650E	4487
mods:relatedItem	FFFF4DB3F09263A12AADB00E0AE0FC20	287447
mods:role	FFFF4DB3F09263A12AADB00E0AE0FC20	1766922
mods:roleTerm	FFFF4DB3F09263A12AADB00E0AE0FC20	1766922
mods:start	FFFF4DB3F09263A12AADB00E0AE0FC20	284217
mods:title	FFFF4DB3F09263A12AADB00E0AE0FC20	577126
mods:titleInfo	FFFF4DB3F09263A12AADB00E0AE0FC20	576738
mods:typeOfResource	FFFF4DB3F09263A12AADB00E0AE0FC20	289291
mods:url	FFFF4DB3F09263A12AADB00E0AE0FC20	115435
named-content	F6F85D52062BDD7D7FFEDE10AC6C27CC	181
newEpithetLabel	8301C4A34F06E93D70FFCB4B884F725D	9
nomenclature	D1AF539F8D9A7BFDF845F87EE9F62F58	1
nonAscii	FFB7634A9AB08CD763FD4E6018881E6B	18
normalizedToken	FFFDFA0385055A93E7421F19E01EDAEB	373770
number	FF7F87A42C2E686CDBCACB70FD8DFE8A	5544298
page	80A88DA2EC84174EDD86ABA2A81E1B11	4
pageBorder	DF623F837A164298EF316E6406D9A72F	13
pageBreakToken	FFF3874DD8D2DFA5790B988757D1650E	42565
pageNumber	FCE2146214C48F29C68EB9CE75F53A8F	143
pageStartToken	FFEBDE168619D201BF711FA703A450DB	3473
pageTitle	F10187B5F1473270C5BCC88C9CFE1E86	209
pagination	FF523C2AFFCC0012ABF95E918040BD51	3211
paragraph	FFFF4DB3F09263A12AADB00E0AE0FC20	2700375
parenthesis	822A19638D2BFFCFFE15FBF6FA52F835	5
part	FF523C2AFFCC0012ABF95E918040BD51	3118
person	EE6DFB6F3FCD3CFA01446B86B8AEFB35	22
plant	D472E2578A571E9E5E585306CE5DA2D3	22
potCollectionCode	FB07504AFF87AC1AFDE616DAFBE12F4F	1004
publicationUrl	BD091476FF8F805EFF7CFE2BDEB4F86C	24
publisher	AF485B83EFBF2B28DEF096E135294E6F	1
quantity	FFF3874DD8D2DFA5790B988757D1650E	543869
quote	1D56DC65FF89FA422744FBA5FD726391	89
region	5E6485786A5D074B44CBE7A050B359EB	2
soilLayer	9695D5FAD229BDFCBFDE4D79117FF493	2
span	C81D4B1FF0C7D60F86EDA9FA99A7F997	63
specimenCode	FFFDAD0AC036B0C2F858A5901DFB1E00	56913
specimenCount	FFFDAD0AC036B0C2F858A5901DFB1E00	363589
specimenType	FFE05DAE14048A5D53C8ABB220F4562A	31441
status	77A9ED98D40EF8DB18B980E921BCE37D	1
sub	FCC575E6651DF8CB7A4F7F68E2A87AD7	329
subScript	FC4FF251FFB3FFCEFF483D62FD6DF6C9	6029
subSection	FFFA565A5FAD09FFB478E725C85C8652	4943
subSubSection	FFFF4DB3F09263A12AADB00E0AE0FC20	1173903
subsubsection	03EAB92AFFBBEA0EFEE73045FADB6259	5
sup	FF8289C78EA12B08DB5A5E1A2B01653D	361
superScript	FF7FE938FFBD3021FF6EE50A34380D18	3498
t_e_m_p	F58E6F32C8517A04D8767FD3E58EFADA	53
table	FFE525BC9A1BC2C4B40E4605C70487EF	15698
tableCitation	FF7FE938FFBD3021FF6EE50A34380D18	22439
tableNote	FC6D8796FFE05A34FF1F6398BB20DB2C	515
taxonName	D0B6590D806D0BEC76EF398859DB5703	4
taxonNameAuthority	F8D8CC9EC21D13E8F742F417D1E3D650	125
taxonomicName	FFFF4DB3F09263A12AADB00E0AE0FC20	2749764
taxonomicNameLabel	FFF738849B669F411C79B04B0DF8B059	244003
taxonomicNameLabell	A9546476363AB0657E33AEE428240EF9	1
taxonomicNameLable	1252903A8E7DFF9FBFBDFCF101A3BF75	1
taxonomicNameOld	7CB36B157BE253F1B6BA0C3CDDE54DA7	29
tbody	B1B975E804E7EF4C836E2B218A8F608F	2
td	FFE525BC9A1BC2C4B40E4605C70487EF	840887
th	FFE525BC9A1BC2C4B40E4605C70487EF	10540
thead	F6F85D52062BDD7D7FFEDE10AC6C27CC	8
title	FF523C2AFFCC0012ABF95E918040BD51	3744
tnCandidate	FE9CB87035C15D9328FF7CE6DEC573DD	685
tr	FFE525BC9A1BC2C4B40E4605C70487EF	170635
trait	03FE87863932FF8A5A20F57551DE7F41	1
traitTerm	EC249F7C7365A7F9E40CD5B0EE2AD8AC	199
treatment	FFFF4DB3F09263A12AADB00E0AE0FC20	289546
treatmentCitation	FF798790C27F0F6CFF31FBF6F4F710E9	209823
treatmentCitationGroup	FF798790C27F0F6CFF31FBF6F4F710E9	102631
treatmentCitationLabel	104687953472B456FF17FF26FCE7FD2A	14
treatmentHeading	D5518791DC6BFFE515CEF8B8A216E3C5	25
typeStatus	FFFDAD0AC036B0C2F858A5901DFB1E00	443848
uri	F83E3A75F529FF89801FFA6D8753F1BB	337
uuid	FC0487E5FFC19D22F1E064774BA05CA3	401
verbatimSoil	B8113C23FFBEF6751417CF1B2E21A4AA	4
verbatimVegetation	F3AA309B054A1EFA3562D79B77D8DE3D	90
vernacularName	FF8289C78EA12B08DB5A5E1A2B01653D	148
volumeTitle	FE9CB87035C15D9328FF7CE6DEC573DD	285
word	FA98C81BD75A289C84AFA26B63F3A416	39644
year	FF523C2AFFCC0012ABF95E918040BD51	3669
